A,B,C,D,E
0.8484564516143708,0.9976219500401607,0.5516565412475192,0.17813875282971192,0.3533544278310369
0.7948205164641289,0.971800997615935,0.8201210772506038,0.21773008991687393,0.6783607359344991
0.9648958910495355,0.37478724695570087,0.26764618538658025,0.11318439288556592,0.6779832284150684
0.56759429275847,0.8281535868637369,0.33510777867133756,0.8207294505422469,0.6946317988336951
0.5518819773507955,0.9996259702219298,0.03999769601454073,0.7433510120905974,0.044605797091627486
0.7615284896367362,0.5224095014913008,0.6963126186856093,0.46807750050726704,0.8897516183977934
0.9316910182175778,0.8425811633435766,0.8057627497456402,0.0830095762435672,0.8482813121481726
0.8551447770701568,0.8931859733583803,0.9446953331364273,0.533054424095873,0.030313577665428748
0.3906043237880312,0.32386326395042675,0.9134857978937212,0.4481096352845536,0.3346042182434136
0.9466721197483987,0.2820402675153618,0.8396553783591626,0.4839986622150837,0.9665925582590842
