A,B,C,D,E,F
0.8484564516143708,0.9976219500401609,0.5516565412475192,0.1781387528297119,0.3533544278310369,0.8873886745195115
0.7948205164641289,0.971800997615935,0.8201210772506038,0.2177300899168739,0.6783607359344991,0.7509674640895763
0.9648958910495355,0.3747872469557008,0.2676461853865802,0.1131843928855659,0.6779832284150684,0.9752643929663255
0.56759429275847,0.8281535868637369,0.3351077786713375,0.8207294505422469,0.6946317988336951,0.038603801878317356
0.5518819773507955,0.9996259702219298,0.0399976960145407,0.7433510120905974,0.0446057970916274,0.21607919350133797
0.7615284896367362,0.5224095014913008,0.6963126186856093,0.468077500507267,0.8897516183977934,0.01414453947508676
0.9316910182175778,0.8425811633435766,0.8057627497456402,0.0830095762435672,0.8482813121481726,0.383174907868276
0.8551447770701568,0.8931859733583803,0.9446953331364272,0.533054424095873,0.0303135776654287,0.6143734528415012
0.3906043237880312,0.3238632639504267,0.9134857978937212,0.4481096352845536,0.3346042182434136,0.8106548238984587
0.9466721197483988,0.2820402675153618,0.8396553783591626,0.4839986622150837,0.9665925582590842,0.6771130309922901
